Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2024-07-01 00:00:00-04:00,212.08999633789065,217.509994506836,211.9199981689453,216.75,60402900,0.0,0.0,AAPL
2024-07-02 00:00:00-04:00,216.1499938964844,220.3800048828125,215.1000061035156,220.2700042724609,58046200,0.0,0.0,AAPL
2024-07-03 00:00:00-04:00,220.0,221.5500030517578,219.02999877929688,221.5500030517578,37369800,0.0,0.0,AAPL
2024-07-05 00:00:00-04:00,221.6499938964844,226.4499969482422,221.6499938964844,226.33999633789065,60412400,0.0,0.0,AAPL
2024-07-08 00:00:00-04:00,227.08999633789065,227.8500061035156,223.25,227.82000732421875,59085900,0.0,0.0,AAPL
2024-07-09 00:00:00-04:00,227.92999267578125,229.3999938964844,226.3699951171875,228.67999267578125,48076100,0.0,0.0,AAPL
2024-07-10 00:00:00-04:00,229.3000030517578,233.0800018310547,229.25,232.97999572753903,62627700,0.0,0.0,AAPL
2024-07-11 00:00:00-04:00,231.38999938964844,232.38999938964844,225.7700042724609,227.57000732421875,64710600,0.0,0.0,AAPL
2024-07-12 00:00:00-04:00,228.9199981689453,232.63999938964844,228.67999267578125,230.5399932861328,53046500,0.0,0.0,AAPL
2024-07-15 00:00:00-04:00,236.47999572753903,237.22999572753903,233.08999633789065,234.3999938964844,62631300,0.0,0.0,AAPL
2024-07-16 00:00:00-04:00,235.0,236.2700042724609,232.3300018310547,234.82000732421875,43234300,0.0,0.0,AAPL
2024-07-17 00:00:00-04:00,229.4499969482422,231.4600067138672,226.63999938964844,228.8800048828125,57345900,0.0,0.0,AAPL
2024-07-18 00:00:00-04:00,230.27999877929688,230.44000244140625,222.2700042724609,224.17999267578125,66034600,0.0,0.0,AAPL
2024-07-19 00:00:00-04:00,224.82000732421875,226.8000030517578,223.27999877929688,224.3099975585937,49151500,0.0,0.0,AAPL
2024-07-22 00:00:00-04:00,227.009994506836,227.77999877929688,223.08999633789065,223.9600067138672,48201800,0.0,0.0,AAPL
